text	label
I made a cash deposit to my account but i don't see it	balance_not_updated_after_cheque_or_cash_deposit
I deposited some money, but the balance has not changed.	balance_not_updated_after_cheque_or_cash_deposit
I need to cancel a transaction on my debit card.	direct_debit_payment_not_recognised
I Submitted a cheque couple of days ago, nothing happened to my account yet.What could be the possible issue?	balance_not_updated_after_cheque_or_cash_deposit
Some cash was missing at ATM.	wrong_amount_of_cash_received
I didn't get all the cash I asked for	wrong_amount_of_cash_received
There was an extra charge when I used my card	card_payment_fee_charged
What is the extra fee that showed up on my card?	card_payment_fee_charged
A couple weeks ago there was a debit taken from my account from a transaction I don't recall. Is it possible to trace this transaction to make sure I'm not being scammed?	direct_debit_payment_not_recognised
I deposited cash into my account, why do I not see it?	balance_not_updated_after_cheque_or_cash_deposit
I don't understand why I'm being charged for using my card.	card_payment_fee_charged
What do I do if I got the wrong amount at the ATM?	wrong_amount_of_cash_received
Could I raise a dispute for a large payment that i found out was not done by me in my couple of last statements? I am aware its delayed now. Please help me out.	direct_debit_payment_not_recognised
How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info.	card_payment_fee_charged
What's going on with my balance? Shouldn't it be a bit higher since I deposited a cheque a day ago?	balance_not_updated_after_cheque_or_cash_deposit
Why am I charged a fee when using my debit or credit card?	card_payment_fee_charged
A few weeks ago, a strange transaction was made on my account by a seller I don't know. I am quite sure I didn't do it and will like for you to check it for me.	direct_debit_payment_not_recognised
What is this extra fee?	card_payment_fee_charged
I deposited a check yesterday and Im not seeing it in my account. i need the money, is there something wrong with my account? check it out please	balance_not_updated_after_cheque_or_cash_deposit
I need to dispute a direct debit.	direct_debit_payment_not_recognised
My account was charged a debit payment I don't recognize.	direct_debit_payment_not_recognised
The cash I wanted wasn't there.	wrong_amount_of_cash_received
I paid with a card and there is an extra charge. Why?	card_payment_fee_charged
I received the wrong amount of cash from the ATM. Can you help?	wrong_amount_of_cash_received
I put some money in my account the other day and it's not gone in yet, can you help with this?	balance_not_updated_after_cheque_or_cash_deposit
I placed a cheque but the funds aren't there	balance_not_updated_after_cheque_or_cash_deposit
Why am I seeing a direct debit thats not mine?	direct_debit_payment_not_recognised
I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?	direct_debit_payment_not_recognised
Did a WD earlier at an ATM.  The amount showing in the App is more than I got though.	wrong_amount_of_cash_received
I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.	balance_not_updated_after_cheque_or_cash_deposit
There was some money taken from my account that I don't remember paying for. Am I able to look up this transaction which was a few weeks ago to see who took out the money? Im not sure I need a refund just want to check to make sure it's legit.	direct_debit_payment_not_recognised
Where'd the rest of my cash go from the ATM	wrong_amount_of_cash_received
I'm going on holiday to France for 6 weeks with my family and the cat, Fluffy.  I just purchased â‚¬10,000 from a currency exchange to ensure we don't run short but there appears to be a fee.  What is this for?	card_payment_fee_charged
In my app, a direct debit payment that I didn't do shows up.	direct_debit_payment_not_recognised
How long do cheques take to post to your account?	balance_not_updated_after_cheque_or_cash_deposit
Why did I only receive a partial amount of what I tried to withdraw?	wrong_amount_of_cash_received
Why was there an additional fee on the payment I just made? I don't usually have additional fees applied to my payments.	card_payment_fee_charged
I was not able to receive the correct amount of cash.	wrong_amount_of_cash_received
Hi, I draw out some money from the ATM today. The ATM has given me wrong amount and the application is displaying more amount than i withdraw.	wrong_amount_of_cash_received
my cash balance less than what I thought	wrong_amount_of_cash_received
I am angry that I got charged for using my card.	card_payment_fee_charged
Why am I being charged a hidden fee?	card_payment_fee_charged
why did i only get 20.00	wrong_amount_of_cash_received
What is the extra fee that was added when I used the card?	card_payment_fee_charged
How do I get a refund for an unauthorized direct debit payment?	direct_debit_payment_not_recognised
Why are you charging me fees for using my card?	card_payment_fee_charged
I did a cash deposit to my account but my balance is still the same. What happened?	balance_not_updated_after_cheque_or_cash_deposit
My cash deposit hasn't posted to my account.	balance_not_updated_after_cheque_or_cash_deposit
i would like to dispute a direct debit payment	direct_debit_payment_not_recognised
A direct debit payment that I didn't authorise shows up in my app.	direct_debit_payment_not_recognised
I did not get all the cash at ATM.	wrong_amount_of_cash_received
What do I do about a debit on my account that I didn't make?	direct_debit_payment_not_recognised
Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through.	wrong_amount_of_cash_received
My statement shows a strange direct debit.	direct_debit_payment_not_recognised
There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money.	direct_debit_payment_not_recognised
After my checque or cash deposit, my balance didn't update.	balance_not_updated_after_cheque_or_cash_deposit
My account shows a direct debit charge that I have never seen before	direct_debit_payment_not_recognised
I know this very late, but I just went through my statements from the last couple months and there's one quite large-ish payment that I definitely haven't made. Is it still possible to dispute it?	direct_debit_payment_not_recognised
why is there a fee for a payment on my card?	card_payment_fee_charged
I deposited money but my balance hasn't been updated yet.	balance_not_updated_after_cheque_or_cash_deposit
The ATM is showing it gave me the money I requested but I didn't get that amount.	wrong_amount_of_cash_received
Why was I charged a fee for my card payment?	card_payment_fee_charged
I was charged an additional amount of money for making a purchase with my card	card_payment_fee_charged
Please, tell me why I can't have the funds I deposited a week ago? I need the money now.	balance_not_updated_after_cheque_or_cash_deposit
Why have I been charged a small fee to use my card?	card_payment_fee_charged
Why did I get less cash than what I asked in the ATM?	wrong_amount_of_cash_received
Why was I charged extra when paying with card?	card_payment_fee_charged
I was not distributed all of cash that I requested	wrong_amount_of_cash_received
I'm not seeing my cash deposit showing up in my account.	balance_not_updated_after_cheque_or_cash_deposit
I asked for a certain amount of money from the ATM, but it gave me a different amount. Less than what I asked for.	wrong_amount_of_cash_received
What is this fee showing up in my account for?	card_payment_fee_charged
I tried using a check to update my balance, but it isn't work? Is something wrong?	balance_not_updated_after_cheque_or_cash_deposit
I would like to dispute a direct debit transaction	direct_debit_payment_not_recognised
I recently deposited a cheque and cannot find the cash from it.	balance_not_updated_after_cheque_or_cash_deposit
How do I see my updated balance after I make a cheque or cash deposit?	balance_not_updated_after_cheque_or_cash_deposit
I was unaware of the additional charge that was added onto my previous payment. A notification of extra charges would be appreciated in the future.	card_payment_fee_charged
The amount of cash i have received is not correct.	wrong_amount_of_cash_received
Why isn't my cash deposit showing up in my account? I deposited it this morning.	balance_not_updated_after_cheque_or_cash_deposit
How can I request cash back? The ATM just gave me a different amount than what I've been charged though...	wrong_amount_of_cash_received
I placed a cash deposit in my account but I can't see it yet.	balance_not_updated_after_cheque_or_cash_deposit
I updated by balance with a cheque yesterday but it isn't showing on my account. Did something go wrong?	balance_not_updated_after_cheque_or_cash_deposit
I got a fee when paying with my card	card_payment_fee_charged
I have never been charged a card payment fee before. Why did this change?	card_payment_fee_charged
I have an unknown direct debit payment on my account	direct_debit_payment_not_recognised
How long do deposits take to appear? I've been waiting for more than a week and need the money!	balance_not_updated_after_cheque_or_cash_deposit
I have an unauthorized charge.	direct_debit_payment_not_recognised
Let me know when you charge for payments. I just checked the app and saw a fee that I wasn't warned about.	card_payment_fee_charged
I see an unfamiliar Direct Debit payment.	direct_debit_payment_not_recognised
I don't recognize this debit transaction in my billing statement?	direct_debit_payment_not_recognised
I deposited some cash but it hasn't shown up in my account yet, what's going on?	balance_not_updated_after_cheque_or_cash_deposit
Please tell me why I was charged additionally when I used the card.	card_payment_fee_charged
I put cash in my account, but I don't see it.	balance_not_updated_after_cheque_or_cash_deposit
Please tell me what this direct debit in my statement is	direct_debit_payment_not_recognised
Earlier today I took money out the ATM. After checking the app the amount is so much higher than the amount I received.	wrong_amount_of_cash_received
Why, when paying with the card, was I charged an extra fee?	card_payment_fee_charged
I did not get enough cash	wrong_amount_of_cash_received
I didn't set up a direct debit payment on my account.	direct_debit_payment_not_recognised
I received an extra charge for using the card. Why?	card_payment_fee_charged
A direct debit payment I didn't do shows in my app	direct_debit_payment_not_recognised
An extra fee has been added to my card payment is this correct?	card_payment_fee_charged
When I went to $100, all the machine would give me was $20.	wrong_amount_of_cash_received
There was a fee charged when I paid with my card.	card_payment_fee_charged
Why is this fee being charged to me after using my card?	card_payment_fee_charged
I have been charged a fee, I didn't know about this fee before! When do you charge extra for card payments?	card_payment_fee_charged
I didn't know I was going to get charged to use my card.	card_payment_fee_charged
Do you have charges now when you pay with a card?	card_payment_fee_charged
Why is my last cheque deposit taking so long?	balance_not_updated_after_cheque_or_cash_deposit
Why didn't I receive the right amount of cash at the ATM?	wrong_amount_of_cash_received
Why did I have to pay an additional amount when using my card to pay?	card_payment_fee_charged
Why am I getting a fee on a card payment?	card_payment_fee_charged
I see a direct debit that isn't mine? How can I get my money back?	direct_debit_payment_not_recognised
The ATM I'm standing in front of only gave me 10 pounds rather than the 30 pounds I wanted. The app shows I took out 30 pounds also. What do I need to do to fix this?	wrong_amount_of_cash_received
Please help my find out why there is an odd direct debit in my records.	direct_debit_payment_not_recognised
I deposited money in the form of a cheque, but my balance has not increased.	balance_not_updated_after_cheque_or_cash_deposit
I do not understand what this particular direct debit is ?	direct_debit_payment_not_recognised
I was only given $20 after trying to withdraw $100	wrong_amount_of_cash_received
I was charged a fee when buying stuff with my card.	card_payment_fee_charged
Why was I charged a fee for using my card	card_payment_fee_charged
Why and I being charged this fee?	card_payment_fee_charged
I'm being charged for using my card!	card_payment_fee_charged
There was a charge made on my card from a couple weeks ago and I don't remember making the purchase. Nor do I remember the company itself. Can we trace this at all to confirm if I did it or not?	direct_debit_payment_not_recognised
I tried to withdraw $100, all it gave me was $20.	wrong_amount_of_cash_received
what is this charge on my card?	direct_debit_payment_not_recognised
Why haven't I seen the cash from the cheque I deposited yet?	balance_not_updated_after_cheque_or_cash_deposit
The ATM is messed up. It gave me less than I wanted.	wrong_amount_of_cash_received
I have cash deposit to my account but it is experiencing a problem	balance_not_updated_after_cheque_or_cash_deposit
I was spending cash with my card and got a fee.	card_payment_fee_charged
The amount of cash I received did not match the amount I requested	wrong_amount_of_cash_received
Why did I get charged a fee on my card?	card_payment_fee_charged
I took out money, and didn't get all of it.	wrong_amount_of_cash_received
I made a cash deposit to my account but it is not there	balance_not_updated_after_cheque_or_cash_deposit
Why did I not get the amount of money I requested?	wrong_amount_of_cash_received
how come when i asked for 100 it only gave me 20.00 in the app	wrong_amount_of_cash_received
Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?	wrong_amount_of_cash_received
Why was the price higher when I paid with my card?	card_payment_fee_charged
I don't recognize the direct debit payment on my account.	direct_debit_payment_not_recognised
Why did I get charged extra?	card_payment_fee_charged
How can I fix this? The ATM gave me more cash than I'd asked for.	wrong_amount_of_cash_received
A wrong amount of cash we sent to me.	wrong_amount_of_cash_received
How do I dispute a direct debit transaction?	direct_debit_payment_not_recognised
Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before.	card_payment_fee_charged
cash and check deposit has not gone thru	balance_not_updated_after_cheque_or_cash_deposit
When will my balance reflect a deposit?	balance_not_updated_after_cheque_or_cash_deposit
Why is the cash not showing in my account for the check I deposited?	balance_not_updated_after_cheque_or_cash_deposit
I have a direct debit I didn't make	direct_debit_payment_not_recognised
what is the word?	direct_debit_payment_not_recognised
Where is my missing cheque I deposited?	balance_not_updated_after_cheque_or_cash_deposit
I visited the ATM but got less money than what I requested. Why?	wrong_amount_of_cash_received
where is my money from this morning	balance_not_updated_after_cheque_or_cash_deposit
You shorted me money when I tried to make a withdrawal.	wrong_amount_of_cash_received
I just made an order and noticed an extra fee. Why have you charged me this without informing me?	card_payment_fee_charged
Why was I charged a fee? I thought shopping was free?	card_payment_fee_charged
Please tell me why I would have to pay a fee for a recent payment. Thanks.	card_payment_fee_charged
I deposited a cheque, but the balance hasn't changed yet.	balance_not_updated_after_cheque_or_cash_deposit
I am seeing a direct debit I wasn't aware of.	direct_debit_payment_not_recognised
Do you guys accept cash? Because i deposited some this morning and I can't see it in my account.	balance_not_updated_after_cheque_or_cash_deposit
If I found an error in my account for a transaction I didn't make, how long to I have to dispute it?	direct_debit_payment_not_recognised
Why was there a fee for paying by card?	card_payment_fee_charged
Asked for $100 but only got $20. Why would this happen?	wrong_amount_of_cash_received
In my app, a direct debit payment I didn't do shows in my app	direct_debit_payment_not_recognised
How long after I receive my statement can I dispute payments on it?	direct_debit_payment_not_recognised
I received less cash than the amount I specified in the ATM.	wrong_amount_of_cash_received
What happens if I deposit a cheque accidentally?	balance_not_updated_after_cheque_or_cash_deposit
Why have I been charged a fee for card payment?	card_payment_fee_charged
looking back on my transactions from a couple of months ago I have noticed a charge that is fairly large that I'm certain was not completed by me. I know it has been a while but can I please dispute this charge?	direct_debit_payment_not_recognised
Please help me regarding a direct debit in the app that I don't recognize.	direct_debit_payment_not_recognised
My account shows I made a debit payment to someone that I can't recall and would like to find out who the payment was made to.	direct_debit_payment_not_recognised
Why was I charged for payments? You didn't warn me about additional fees.	card_payment_fee_charged
I received the wrong amount of cash.	wrong_amount_of_cash_received
I did not set up a direct debit I have	direct_debit_payment_not_recognised
I deposited a check yesterday and im not seeing it posted yet in my account. why is that? can you look into it?	balance_not_updated_after_cheque_or_cash_deposit
I see a direct debit transaction in my history that I did not set up.	direct_debit_payment_not_recognised
Can you explain why the ATM is giving me less money than what I asked for?	wrong_amount_of_cash_received
What is this fee for card payment?	card_payment_fee_charged
I could not get the cash I wanted	wrong_amount_of_cash_received
How do I dispute a direct debit that I didn't do?	direct_debit_payment_not_recognised
I couldn't get the money I needed.	wrong_amount_of_cash_received
Hi, Today i have withdrawn cash from ATM but i got wrong amount and in the app it is showing much more amount than that.	wrong_amount_of_cash_received
I shouldn't have been charged but I see a fee, why?	card_payment_fee_charged
why hasn't my cash arrived yet from my cheque?!	balance_not_updated_after_cheque_or_cash_deposit
I made a purchase with my card and I was charged a fee for using it	card_payment_fee_charged
My cash withdrawal was short.	wrong_amount_of_cash_received
When will my deposit post to my account?	balance_not_updated_after_cheque_or_cash_deposit
I got less than what i asked for in the ATM, why?	wrong_amount_of_cash_received
I am at the ATM and tried to withdraw 30 pounds and it only gave me 10 pounds, what do I do?	wrong_amount_of_cash_received
I made a cash deposit, but it hasn't shown up in my balance yet.	balance_not_updated_after_cheque_or_cash_deposit
How can I get my money back for a payment i didnt make	direct_debit_payment_not_recognised
My cash deposit isn't in my account. What happened?	balance_not_updated_after_cheque_or_cash_deposit
I deposited a cheque but I don't see the funds in my account.	balance_not_updated_after_cheque_or_cash_deposit
I see a direct debit that I didn't authorize	direct_debit_payment_not_recognised
Who should I contact if the amount of my withdrawal doesn't correspond to the amount that I tried to take out of my account?	wrong_amount_of_cash_received
I think I am a victim of fraud.  I noticed there was a charge on my account that I didn't do because I haven't touched my card today.  Can you please reverse the charge and refund my money?	direct_debit_payment_not_recognised
I'm stuck here at your broken ATM and I don't know what to do next. Asked for 30 pounds, got 10. ATM said I got 30. Something very wrong here and I want my money now!	wrong_amount_of_cash_received
I am calling because the ATM didn't give me the right amount of cash, but my app shows the actual amount I wanted to withdraw. What should I do to get my money back?	wrong_amount_of_cash_received
Why did I get charged a fee for my card payment?	card_payment_fee_charged
My card is showing a fee from when I used it, but I thought this card was supposed to be fee free?	card_payment_fee_charged
I got less cash than what I specified at the ATM.	wrong_amount_of_cash_received
My cheque is slow to cash	balance_not_updated_after_cheque_or_cash_deposit
My card was charged more than expected.	card_payment_fee_charged
I tried to withdraw $100 but only got $20. What happened?	wrong_amount_of_cash_received
what is this charge i didnt do it what can i do	direct_debit_payment_not_recognised
I did not make a direct debit payment as listed on my app	direct_debit_payment_not_recognised
Why didn't I receive the right amount of cash?	wrong_amount_of_cash_received
Tell me why there is a fee for a card payment.	card_payment_fee_charged
I didn't receive the amount of cash I requested for the ATM.	wrong_amount_of_cash_received
I was made to pay a fee for making a transaction with card.	card_payment_fee_charged
I paid with my card and I was charged a fee	card_payment_fee_charged
Hi,  My money has not been credited to my account for which i have sent you cheque few days before. I am worried about the money please let me know the status.	balance_not_updated_after_cheque_or_cash_deposit
The cheque I sent a few days ago has not been deposited yet, what is the hold up?	balance_not_updated_after_cheque_or_cash_deposit
I've deposited a check in my account but the cash isn't showing as available.	balance_not_updated_after_cheque_or_cash_deposit
I payed with the card and there was an extra fee?	card_payment_fee_charged
Online banking is not showing my cheque or cash deposit so the balance is incorrect.	balance_not_updated_after_cheque_or_cash_deposit
There is a direct debit fee in the App that I didn't do.	direct_debit_payment_not_recognised
Is there a place to check for fee for payments? I feel like I'm getting charged too much at times.	card_payment_fee_charged
The machine only paid me a hundred when I wanted 20	wrong_amount_of_cash_received
The cash I asked for still hasn't been received	wrong_amount_of_cash_received
There is a direct debit charge that I don't recognize, what can I do?	direct_debit_payment_not_recognised
I deposited cash this morning, but it's not showing up in my account. Can you tell me where's my money?	balance_not_updated_after_cheque_or_cash_deposit
My balance doesn't show my deposit.	balance_not_updated_after_cheque_or_cash_deposit
I wanted to know why i got an additional fee when i use my card.	card_payment_fee_charged
Why hasn't my account updated?	balance_not_updated_after_cheque_or_cash_deposit
The ATM gave me less cash than requested	wrong_amount_of_cash_received
Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it?	direct_debit_payment_not_recognised
I attempted to deposit a cheque yesterday but the balance isn't showing today. Is it still pending?	balance_not_updated_after_cheque_or_cash_deposit
The app is showing a direct debit transaction that I did not perform	direct_debit_payment_not_recognised
Is there an allowance on cards?	card_payment_fee_charged
I have a direct debit that I did not set up	direct_debit_payment_not_recognised
I tried pulling out money at the ATM and it gave me an incorrect amount back.	wrong_amount_of_cash_received
I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now!	wrong_amount_of_cash_received
There was a charge applied when I used my card.	card_payment_fee_charged
The app is showing a direct debit payment that I never made	direct_debit_payment_not_recognised
I haven't seen the cash yet from the cheque I deposited.	balance_not_updated_after_cheque_or_cash_deposit
I made a deposit but it is not showing up in my balance.	balance_not_updated_after_cheque_or_cash_deposit
I am getting charged fees on some payments.  Please help me understand, where are these fees disclosed?	card_payment_fee_charged
Someone else made a Direct Debit transaction on my account	direct_debit_payment_not_recognised
Yikes!  I didn't get the amount of money that I requested.  What do I do now?	wrong_amount_of_cash_received
What was I charged a fee for card payment?	card_payment_fee_charged
I'm seeing a direct debit payment that is not me.	direct_debit_payment_not_recognised
What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct.	wrong_amount_of_cash_received
I received a different amount of cash than what I entered.	wrong_amount_of_cash_received
I am worried about the amount of my cheque, which should be credited to my account few days before. As i have already sent you the cheque.	balance_not_updated_after_cheque_or_cash_deposit
What happens if the ATM gives me the wrong amount of money?	wrong_amount_of_cash_received
Why is there a fee when I thought there would be no fees?	card_payment_fee_charged
I did not receive the right amount of cash.	wrong_amount_of_cash_received
I paid with my card and got charged an extra fee, what's up with that?	card_payment_fee_charged
I bought something with my card and I was charged a fee	card_payment_fee_charged
I used my card and there was a fee	card_payment_fee_charged
What do I do if there is an electronic debit that is not correct?	direct_debit_payment_not_recognised
Is there an issue with my account?  I don't see a cheque deposit that I made yesterday.  Please assist.	balance_not_updated_after_cheque_or_cash_deposit
I received the wrong amount of cash back	wrong_amount_of_cash_received
I didn't get the correct amount of money from the ATM machine	wrong_amount_of_cash_received
i made a payment with my card and was charged a fee, why would you do that	card_payment_fee_charged
I didn't get the all the cash i wanted from the atm	wrong_amount_of_cash_received
What happens if the ATM doesn't give the right amount of money?	wrong_amount_of_cash_received
What can I do about a direct debit transaction on my card that I didn't make?	direct_debit_payment_not_recognised
How can I request cash back? The ATM gave me the wrong amount that I've been charged though...	wrong_amount_of_cash_received
How can I get cash back? The ATM just gave me the wrong amount that I've been actually charged though...	wrong_amount_of_cash_received
Why is there a direct debit set up in my name?	direct_debit_payment_not_recognised
I tried withdrawing but my cash is not showing up?	wrong_amount_of_cash_received
Why did I have to pay extra because I paid with my card?	card_payment_fee_charged
The check I deposited yesterday isn't listed yet.  Isn't that pretty slow?  I need to see the balance increased by that check.	balance_not_updated_after_cheque_or_cash_deposit
I got $20 when I should've gotten $100	wrong_amount_of_cash_received
how do i get a refund for a direct debit payment i didn't make	direct_debit_payment_not_recognised
I have yet to receive the cash I added to my account this morning.	balance_not_updated_after_cheque_or_cash_deposit
The ATM did not give me as much cash as I requested.	wrong_amount_of_cash_received
how do i avoid charges in the future	card_payment_fee_charged
I had to pay a fee when buying items with my card.	card_payment_fee_charged
Unbeknownst to me, there was an additional charge on my prior transaction. A notification of sorts should be required and explained before future payments are made.	card_payment_fee_charged
I notice a transaction a couple of weeks ago in my account, from a seller that I don't recognize. Is there a way we can trace back the information to make sure it was truly something I did?	direct_debit_payment_not_recognised
Why hasn't my cash arrived from a deposited check?	balance_not_updated_after_cheque_or_cash_deposit
There is a direct debit set up that was not authorized by me.	direct_debit_payment_not_recognised
Can you help me figure out what is going on with a debit payment that is showing up on my account I am not sure is suppose to be there.	direct_debit_payment_not_recognised
Why did I get charged more for using my card?	card_payment_fee_charged
I asked for $40 and I only received $20, what happened?	wrong_amount_of_cash_received
Where is the cash deposit I made?	balance_not_updated_after_cheque_or_cash_deposit
Is there a  way to  get around fees	card_payment_fee_charged
Why was I charged extra using my card?	card_payment_fee_charged
I noticed an extra fee when I paid with my card.	card_payment_fee_charged
There is a payment showing on my app that I didn't do. Will you please cancel this payment and refund my money ?	direct_debit_payment_not_recognised
There is a direct debit charge on my account that is not mine.	direct_debit_payment_not_recognised
I didn't receive the correct amount of cash	wrong_amount_of_cash_received
Cash has been deposited this morning but it hasn't came through.	balance_not_updated_after_cheque_or_cash_deposit
On my app I can see that a direct debit payment that I didn't do, appears.	direct_debit_payment_not_recognised
I was mistakenly charged a fee for using my card.	card_payment_fee_charged
I don't recognise a Direct Debit payment	direct_debit_payment_not_recognised
Why is my cash request and the amount I received different?	wrong_amount_of_cash_received
I requested a higher amount for my cash withdrawal	wrong_amount_of_cash_received
Why was a fee added to my bill when I used my card?	card_payment_fee_charged
My cash withdrawal was not entirely complete	wrong_amount_of_cash_received
I haven't used my card all day but there is a payment showing in the app. Please cancel it!	direct_debit_payment_not_recognised
Hey I am standing in front of an ATM here, it only gave me 10 pounds even though I wanted to withdraw 30! Seems like the app has 30 pounds, what do I do??	wrong_amount_of_cash_received
I can't see my cash deposit in my account.	balance_not_updated_after_cheque_or_cash_deposit
I was just giving the wrong amount by the ATM. How do I request cash back at this point? The app is showing the amount that I actually requested even though that's not what I got.	wrong_amount_of_cash_received
I don't recognize the direct debit payment from the app.	direct_debit_payment_not_recognised
A direct debit appears in the app but I didn't authorize it.	direct_debit_payment_not_recognised
Why did my cash deposit not show up?	balance_not_updated_after_cheque_or_cash_deposit
Help!  In the app there is a direct debit that I don't remember.	direct_debit_payment_not_recognised
I have an unfamiliar direct debit in my statement.	direct_debit_payment_not_recognised
My cash received does not match what has been requested	wrong_amount_of_cash_received
My accounts been charged a payment for something I didn't make.	direct_debit_payment_not_recognised
I was charged an extra fee for a card payment. I was unaware of these fees beforehand.	card_payment_fee_charged
Why isn't my balance updating after depositing cheques and cash.	balance_not_updated_after_cheque_or_cash_deposit
What is going on? My balance still hasn't updated and it has been two weeks since I deposited my money!	balance_not_updated_after_cheque_or_cash_deposit
I don't know where a direct debit payment came from	direct_debit_payment_not_recognised
I didn't set up the direct debit I have	direct_debit_payment_not_recognised
There was a direct debit transaction I have don't think should be there.	direct_debit_payment_not_recognised
I only got some of the cash I requested from the ATM	wrong_amount_of_cash_received
I deposited a cheque, why isn't my balance showing that I did?	balance_not_updated_after_cheque_or_cash_deposit
Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!	balance_not_updated_after_cheque_or_cash_deposit
What are these fees i am paying?	card_payment_fee_charged
The app is showing that I received alot more money than I actually received from the ATM. This occurred earlier today.	wrong_amount_of_cash_received
Where is the money I put in the bank?	balance_not_updated_after_cheque_or_cash_deposit
I deposited cash into my account a week ago and it is still not available, please tell me why? I need the cash back now.	balance_not_updated_after_cheque_or_cash_deposit
I may need to dispute a Direct Debit payment.	direct_debit_payment_not_recognised
What happened to my cash deposit?	balance_not_updated_after_cheque_or_cash_deposit
I made a cash deposit and the balance wasn't updated.	balance_not_updated_after_cheque_or_cash_deposit
Why was my transaction charged an extra fee when paying with my card?	card_payment_fee_charged
I wanted $100 but only got $20	wrong_amount_of_cash_received
There is a debit paymet that I don't recognize.	direct_debit_payment_not_recognised
I think I was wrongly charged in a recent transaction when I used my card.	card_payment_fee_charged
I see I was charged extra when I used the card.  I am not sure why, please tell me why.	card_payment_fee_charged
I deposited a cheque but the cash hasn't arrived yet	balance_not_updated_after_cheque_or_cash_deposit
Even though I made a cash deposit, I am not seeing it in my account.	balance_not_updated_after_cheque_or_cash_deposit
my balance has not changed, despite depositing a cheque	balance_not_updated_after_cheque_or_cash_deposit
Why was I charged a fee for debit or credit card payment?	card_payment_fee_charged
Why is my check still not showing up on my account? It's been a week already	balance_not_updated_after_cheque_or_cash_deposit
There is a potentially fraudulent direct debit on my account.	direct_debit_payment_not_recognised
Weird Direct Debit payment	direct_debit_payment_not_recognised
How long does it take to show a deposit I made to my balance?	balance_not_updated_after_cheque_or_cash_deposit
I deposited a cheque, but my account balance stayed the same.	balance_not_updated_after_cheque_or_cash_deposit
ATM is broken. It did not give me the full amount (30 pounds.)  I'm standing here with only 10 pounds and it's telling me it gave me 30 pounds. I need assistance now!	wrong_amount_of_cash_received
Please tell my why I was charged a fee for using my card?	card_payment_fee_charged
i have used my card online before and wasn't charged, why am i charged now	card_payment_fee_charged
There is a direct debit payment I don't recognize.	direct_debit_payment_not_recognised
Why was I charged an additional fee when paying with card?	card_payment_fee_charged
What is this direct debit in my statement?	direct_debit_payment_not_recognised
